"Day","Date","Duty","Meal","Activity","C/I","From","STD","STA","To","C/O","Stop time"
"Fri","01DEC2023","","","SK4552","","TRD","09:00","10:00","BOO","","00:25"
"Fri","01DEC2023","","","SK4552","","BOO","10:25","11:15","TOS","","00:55"
"Fri","01DEC2023","","VO","SK4419","","TOS","12:10","14:05","OSL","","02:15"
"Fri","01DEC2023","","","checkin","","","08:15","08:15","","","00:00"
"Fri","01DEC2023","","GS","SK0358","","OSL","16:20","17:20","TRD","","00:30"
"Fri","01DEC2023","","","SK0373","","TRD","17:50","18:45","OSL","","355:00"
"Fri","01DEC2023","","","checkout","","","19:10","19:10","","","00:00"
"Sat","02DEC2023","","","F","","","00:00","23:59","","","00:00"
"Sun","03DEC2023","","","F","","","00:00","23:59","","","00:00"
"Mon","04DEC2023","","","F7","","","00:00","23:59","","","00:00"
"Tue","05DEC2023","","","F7","","","00:00","23:59","","","00:00"
"Wed","06DEC2023","","","F7","","","00:00","23:59","","","00:00"
"Thu","07DEC2023","","","F7","","","00:00","23:59","","","00:00"
"Fri","08DEC2023","","","VA","","","00:00","23:59","","","00:00"
"Sat","09DEC2023","","","VA","","","00:00","23:59","","","00:00"
"Sun","10DEC2023","","","VA","","","00:00","23:59","","","00:00"
"Mon","11DEC2023","","","VA","","","00:00","23:59","","","00:00"
"Tue","12DEC2023","","","VA","","","00:00","23:59","","","00:00"
"Wed","13DEC2023","","","VA","","","00:00","23:59","","","00:00"
"Thu","14DEC2023","","","VA","","","00:00","23:59","","","00:00"
"Fri","15DEC2023","","","VA","","","00:00","23:59","","","00:00"
"Sat","16DEC2023","","","checkin","","","13:45","13:45","","","00:00"
"Sat","16DEC2023","","","A","","","13:45","17:45","","","00:00"
"Sat","16DEC2023","","","checkout","","","17:45","17:45","","","00:00"
"Sun","17DEC2023","","","R2","","","10:00","20:00","","","00:00"
"Mon","18DEC2023","","","R2","","","10:00","20:00","","","00:00"
"Tue","19DEC2023","","","F","","","00:00","23:59","","","00:00"
"Wed","20DEC2023","","","F","","","00:00","23:59","","","00:00"
"Thu","21DEC2023","","","F","","","00:00","23:59","","","00:00"
"Fri","22DEC2023","","","checkin","","","05:15","05:15","","","00:00"
"Fri","22DEC2023","P","","SK1461","","OSL","06:05","07:20","CPH","","23:55"
"Fri","22DEC2023","","","checkout","","","07:35","07:35","","","00:00"
"Fri","22DEC2023","","","NightStop","","","07:20","07:15","","","00:00"
"Sat","23DEC2023","","","checkin","","","06:25","06:25","","","00:00"
"Sat","23DEC2023","","GF","SK0539","","CPH","07:15","08:15","MAN","","00:40"
"Sat","23DEC2023","","","SK0540","","MAN","08:55","11:40","CPH","","02:45"
"Sat","23DEC2023","P","X","SK1872","","CPH","14:25","15:40","SVG","","17:05"
"Sat","23DEC2023","","","NightStop","","","15:40","08:45","","","00:00"
"Sun","24DEC2023","","VO","SK4753","","SVG","08:45","13:25","TFS","","01:00"
"Sun","24DEC2023","","VO","SK4754","","TFS","14:25","21:05","SVG","","19:25"
"Sun","24DEC2023","","","NightStop","","","21:05","16:30","","","00:00"
"Mon","25DEC2023","P","","SK4032","","SVG","16:30","17:20","OSL","","67:40"
"Mon","25DEC2023","","","checkout","","","17:50","17:50","","","00:00"
"Tue","26DEC2023","","","F","","","00:00","23:59","","","00:00"
"Wed","27DEC2023","","","F","","","00:00","23:59","","","00:00"
"Thu","28DEC2023","","","checkin","","","12:10","12:10","","","00:00"
"Thu","28DEC2023","","GS","SK4518","","OSL","13:00","13:55","MOL","","00:30"
"Thu","28DEC2023","","","SK4517","","MOL","14:25","15:20","OSL","","01:40"
"Thu","28DEC2023","","GS,X","SK0364","","OSL","17:00","18:05","TRD","","00:30"
"Thu","28DEC2023","","","SK0377","","TRD","18:35","19:30","OSL","","01:00"
"Thu","28DEC2023","","GS","SK4055","","OSL","20:30","21:30","SVG","","20:20"
"Thu","28DEC2023","","","NightStop","","","21:30","17:50","","","00:00"
"Fri","29DEC2023","","","SK4627","","SVG","17:50","18:50","LHR","","01:00"
"Fri","29DEC2023","","","SK4628","","LHR","19:50","22:40","SVG","","17:55"
"Fri","29DEC2023","","","NightStop","","","22:40","16:35","","","00:00"
"Sat","30DEC2023","P","","SK4032","","SVG","16:35","17:25","OSL","","01:30"
"Sat","30DEC2023","","GS,X","SK1477","","OSL","18:55","20:10","CPH","","00:50"
"Sat","30DEC2023","","","SK1472","","CPH","21:00","22:10","OSL","","00:00"
"Sat","30DEC2023","","","checkout","","","22:40","22:40","","","00:00"
"Sun","31DEC2023","","","F14","","","00:00","23:59","","","00:00"
